Lat,Confirmed,Deaths,Recovered,Active,FIPS,Incident_Rate,People_Tested,People_Hospitalized,Mortality_Rate,UID,ISO3,Testing_Rate,Hospitalization_Rate,Lon,Province/State,Country/Region,Last Update,date
40.2989,64584,2443,NA,62141,34,727.1179742833693,129469,7781,3.7826706304967175,84000034,USA,1457.6247524540681,12.047875634832156,-74.521,New Jersey,US,2020-04-13T23:07:54Z,2020-04-13
34.8405,1262,26,295,1236,35,75.68066119231224,30515,80,2.0602218700475436,84000035,USA,1829.9487926175973,6.3391442155309035,-106.2485,New Mexico,US,2020-04-13T23:07:54Z,2020-04-13
42.1657,195749,10058,23887,185691,36,1160.9555172357552,478357,42712,5.138212711176047,84000036,USA,2837.057652188998,21.819779411389074,-74.9481,New York,US,2020-04-13T23:07:54Z,2020-04-13
35.6301,4886,94,NA,4792,37,49.26458540766041,63388,313,1.9238641015145312,84000037,USA,639.1288456448584,6.406058125255833,-79.8064,North Carolina,US,2020-04-13T23:07:54Z,2020-04-13
47.5289,331,8,127,323,38,54.582812515459636,10781,40,2.416918429003021,84000038,USA,1777.816621538279,12.084592145015106,-99.78399999999999,North Dakota,US,2020-04-13T23:07:54Z,2020-04-13
15.0979,11,2,NA,9,69,19.947773103148123,38,NA,18.181818181818183,580,MNP,68.91048890178442,NA,145.6739,Northern Mariana Islands,US,2020-04-13T23:07:54Z,2020-04-13
40.3888,6975,274,NA,6701,39,62.422475312917825,65112,2033,3.92831541218638,84000039,USA,582.7171630931477,29.14695340501792,-82.7649,Ohio,US,2020-04-13T23:07:54Z,2020-04-13
35.5653,2069,99,865,1970,40,56.56662202943214,22859,457,4.784920251329145,84000040,USA,624.9668501550456,22.08796520057999,-96.9289,Oklahoma,US,2020-04-13T23:07:54Z,2020-04-13
44.571999999999996,1584,53,NA,1531,41,39.53009103400636,31121,369,3.345959595959596,84000041,USA,776.6514918366868,23.295454545454547,-122.0709,Oregon,US,2020-04-13T23:07:54Z,2020-04-13
40.5908,24292,589,NA,23703,42,192.98515026458398,129792,2243,2.4246665568911574,84000042,USA,1031.1184185386498,9.233492507821506,-77.2098,Pennsylvania,US,2020-04-13T23:07:54Z,2020-04-13
18.2208,903,45,NA,858,72,30.783307333995136,6863,NA,4.983388704318937,630,PRI,233.9599537466319,NA,-66.5901,Puerto Rico,US,2020-04-13T23:07:54Z,2020-04-13
41.6809,2665,63,135,2602,44,251.56674636880157,20661,331,2.3639774859287055,84000044,USA,1950.3266591841686,12.420262664165103,-71.5118,Rhode Island,US,2020-04-13T23:07:54Z,2020-04-13
33.8569,3391,82,NA,3309,45,67.2820797722211,31425,496,2.4181657328221764,84000045,USA,623.514997594234,14.626953700973164,-80.945,South Carolina,US,2020-04-13T23:07:54Z,2020-04-13
44.2998,868,6,207,862,46,117.95209079593201,9002,44,0.6912442396313364,84000046,USA,1223.2773287384562,5.0691244239631335,-99.4388,South Dakota,US,2020-04-13T23:07:54Z,2020-04-13
35.7478,5610,109,1671,5501,47,85.45408488043054,76195,579,1.9429590017825311,84000047,USA,1160.6370761968637,10.320855614973262,-86.6923,Tennessee,US,2020-04-13T23:07:54Z,2020-04-13
31.0545,14275,305,2269,13970,48,62.106907327923295,133226,1176,2.136602451838879,84000048,USA,579.63256291908294,8.238178633975481,-97.5635,Texas,US,2020-04-13T23:07:54Z,2020-04-13
40.15,2363,13,218,2350,49,82.45280161569806,45787,201,0.5501481168006771,84000049,USA,1597.6582427329527,8.506136267456624,-111.8624,Utah,US,2020-04-13T23:07:54Z,2020-04-13
44.0459,748,28,15,720,50,122.50426226393773,10366,33,3.7433155080213902,84000050,USA,1697.699442016014,4.411764705882353,-72.7107,Vermont,US,2020-04-13T23:07:54Z,2020-04-13
18.3358,51,1,43,50,78,47.5444680613044,373,NA,1.9607843137254901,850,VIR,347.7271879777753,NA,-64.8963,Virgin Islands,US,2020-04-13T23:07:54Z,2020-04-13
37.7693,5747,149,NA,5598,51,72.68031915095425,41401,1238,2.592657038454846,84000051,USA,523.5841122618161,21.54167391682617,-78.17,Virginia,US,2020-04-13T23:07:54Z,2020-04-13
47.4009,10635,513,NA,10122,53,140.8720663077597,93802,527,4.823695345557122,84000053,USA,1242.5088447391138,4.955336154207805,-121.4905,Washington,US,2020-04-13T23:07:54Z,2020-04-13
38.4912,611,8,85,603,54,46.18298742704071,16655,164,1.309328968903437,84000054,USA,1258.8832333835728,26.841243862520457,-80.9545,West Virginia,US,2020-04-13T23:07:54Z,2020-04-13
44.2685,3428,154,NA,3274,55,66.24703767713304,40197,993,4.492415402567095,84000055,USA,776.8180202764635,28.96732788798133,-89.6165,Wisconsin,US,2020-04-13T23:07:54Z,2020-04-13
42.756,275,1,138,274,56,55.30528517416137,5964,41,0.36363636363636365,84000056,USA,1199.4208028316307,14.909090909090908,-107.3025,Wyoming,US,2020-04-13T23:07:54Z,2020-04-13
NA,0,0,43482,-43482,NA,NA,NA,NA,NA,84070001,USA,NA,NA,NA,Recovered,US,NA,NA
32.3182,3953,114,NA,3839,1,84.30554137,33117,493,2.883885656,84000001,USA,706.2855081,12.4715406,-86.9023,Alabama,US,2020-04-14T23:33:31Z,2020-04-14
61.3707,285,9,98,276,2,47.67887525,8348,32,3.157894737,84000002,USA,1396.572809,11.22807018,-152.4044,Alaska,US,2020-04-14T23:33:31Z,2020-04-14
-14.271,0,0,NA,NA,60,0,3,NA,NA,16,ASM,5.391707554,NA,-170.132,American Samoa,US,NA,NA
33.7298,3809,131,249,3678,4,52.33065113,44096,580,3.439222893,84000004,USA,605.8210534,15.22709373,-111.4312,Arizona,US,2020-04-14T23:33:31Z,2020-04-14
34.9697,1498,32,427,1466,5,57.85957427,21131,130,2.136181575,84000005,USA,816.1753431,8.67823765,-92.3731,Arkansas,US,2020-04-14T23:33:31Z,2020-04-14
36.1162,25356,767,NA,24589,6,64.66945279,202208,5163,3.028868907,84000006,USA,515.7233282,20.36204449,-119.6816,California,US,2020-04-14T23:33:31Z,2020-04-14
39.0598,7950,327,NA,7623,8,140.290495,38742,1493,4.11320755,84000008,USA,683.6646983,18.7798742,-105.3111,Colorado,US,2020-04-14T23:33:31Z,2020-04-14
41.5978,13989,671,NA,13318,9,392.3667295,45841,1779,4.79662592,84000009,USA,1285.759043,12.71713489,-72.7554,Connecticut,US,2020-04-14T23:33:31Z,2020-04-14
39.3185,1926,43,277,1883,10,197.7891974,12304,204,2.232606438,84000010,USA,1263.550511,10.59190031,-75.5071,Delaware,US,2020-04-14T23:33:31Z,2020-04-14
NA,49,0,0,49,88888,NA,NA,NA,0,84088888,USA,NA,NA,NA,Diamond Princess,US,2020-04-14T23:33:31Z,2020-04-14
38.8974,2058,67,518,1991,11,291.6050891,11518,295,3.255587949,84000011,USA,1632.024983,14.33430515,-77.0268,District of Columbia,US,2020-04-14T23:33:31Z,2020-04-14
27.7663,21628,571,NA,21057,12,101.8622019,203180,3060,2.640096172,84000012,USA,956.9244585,14.14832624,-81.6868,Florida,US,2020-04-14T23:33:31Z,2020-04-14
33.0406,14578,525,NA,14053,13,143.7758651,61795,2769,3.601317053,84000013,USA,609.4546291,18.99437509,-83.6431,Georgia,US,2020-04-14T23:33:31Z,2020-04-14
NA,103,0,0,103,99999,NA,NA,NA,0,84099999,USA,NA,NA,NA,Grand Princess,US,2020-04-14T23:33:31Z,2020-04-14
13.4443,133,5,66,128,66,80.98447899,946,13,3.759398496,316,GUM,576.0249408,9.77443609,144.7937,Guam,US,2020-04-14T23:33:31Z,2020-04-14
21.0943,511,9,315,502,15,36.09302536,19420,44,1.761252446,84000015,USA,1371.676228,8.610567515,-157.4983,Hawaii,US,2020-04-14T23:33:31Z,2020-04-14
44.2405,1464,33,NA,1431,16,90.90361547,15114,135,2.254098361,84000016,USA,938.468063,9.221311475,-114.4788,Idaho,US,2020-04-14T23:33:31Z,2020-04-14
40.3495,23248,868,NA,22380,17,198.0972,110616,4283,3.733654508,84000017,USA,942.5636562,18.42309016,-88.9861,Illinois,US,2020-04-14T23:33:31Z,2020-04-14
39.8494,8527,387,NA,8140,18,130.3026867,46017,NA,4.538524686,84000018,USA,703.19441,NA,-86.2583,Indiana,US,2020-04-14T23:33:31Z,2020-04-14
42.0115,1899,49,741,1850,19,72.46119663,18885,163,2.580305424,84000019,USA,720.605423,8.583464982,-93.2105,Iowa,US,2020-04-14T23:33:31Z,2020-04-14
38.5266,1441,69,NA,1372,20,59.09399595,14147,327,4.78834143,84000020,USA,580.1545876,22.6925746,-96.7265,Kansas,US,2020-04-14T23:33:31Z,2020-04-14
37.6681,2048,106,629,1942,21,59.82526233,26683,673,5.17578125,84000021,USA,779.4518919,32.86132813,-84.6701,Kentucky,US,2020-04-14T23:33:31Z,2020-04-14
31.1695,21518,1013,NA,20505,22,468.0607996,118422,1977,4.707686588,84000022,USA,2575.922298,9.187656845,-91.8678,Louisiana,US,2020-04-14T23:33:31Z,2020-04-14
44.6939,735,20,292,715,23,62.60615363,12342,124,2.721088435,84000023,USA,1051.27231,16.8707483,-69.3819,Maine,US,2020-04-14T23:33:31Z,2020-04-14
39.0639,9472,302,607,9170,24,159.371801,53733,2122,3.18834459,84000024,USA,904.0883612,22.4028716,-76.8021,Maryland,US,2020-04-14T23:33:31Z,2020-04-14
