ADM0_NAME,DateOfReport,cum_conf,cum_death,ID,CENTER_LON,CENTER_LAT,ADM0_VIZ_NAME,Short_Name_ZH,Short_Name_FR,Short_Name_ES,Short_Name_RU,Short_Name_AR
Chile,2020-04-12T00:00:00.000Z,7213,80,648076,-71.38009385,-37.86811922,Chile,智利,Chili,Chile,Чили,شيلي
Peru,2020-04-12T00:00:00.000Z,6848,181,648077,-74.37540668,-9.16377133,Peru,秘鲁,Pérou,Perú,Перу,بيرو
Mexico,2020-04-12T00:00:00.000Z,4219,273,648078,-102.5349909,23.95092841,Mexico,墨西哥,Mexique,México,Мексика,المكسيك
Panama,2020-04-12T00:00:00.000Z,3234,79,648079,-80.10906884,8.50544318,Panama,巴拿马,Panama,Panamá,Панама,بنما
Dominican Republic,2020-04-12T00:00:00.000Z,2967,173,648080,-70.48543447,18.89309386,Dominican Republic,多米尼加 ,République dominicaine,República Dominicana,Доминиканская Республика,الجمهورية الدومينيكية
Colombia,2020-04-12T00:00:00.000Z,2709,100,648081,-73.07576335,3.90037401,Colombia,哥伦比亚,Colombie,Colombia,Колумбия,كولومبيا
Argentina,2020-04-12T00:00:00.000Z,1975,82,648082,-65.16748474,-35.37667253,Argentina,阿根廷 ,Argentine,Argentina,Аргентина,الأرجنتين
Cuba,2020-04-12T00:00:00.000Z,669,18,648083,-79.0381998,21.62142096,Cuba,古巴,Cuba,Cuba,Куба,كوبا
Costa Rica,2020-04-12T00:00:00.000Z,577,3,648084,-84.18903867,9.97052135,Costa Rica,哥斯达黎加,Costa Rica,Costa Rica,Коста-Рика,كوستاريكا
Uruguay,2020-04-12T00:00:00.000Z,501,7,648085,-56.01217362,-32.79956992,Uruguay,乌拉圭,Uruguay,Uruguay,Уругвай,أوروغواي
Honduras,2020-04-12T00:00:00.000Z,393,25,648086,-86.61965899,14.81934813,Honduras,洪都拉斯,Honduras,Honduras,Гондурас,هندوراس
Bolivia (Plurinational State of),2020-04-12T00:00:00.000Z,300,24,648087,-64.67054847,-16.71510989,Bolivia (Plurinational State of),玻利维亚（多民族国）,Bolivie (État plurinational de),Bolivia (Estado Plurinacional de)  ,Боливия (Многонациональное Государство),بوليفيا (دولة - المتعددة القوميات)
Venezuela (Bolivarian Republic of),2020-04-12T00:00:00.000Z,171,9,648088,-66.16621515,7.12493711,Venezuela (Bolivarian Republic of),委内瑞拉(玻利瓦尔共和国),Venezuela (République bolivarienne du),Venezuela (República Bolivariana de),Венесуэла (Боливарианская Республика),فنزويلا
Guatemala,2020-04-12T00:00:00.000Z,153,3,648089,-90.3569493,15.7023026,Guatemala,危地马拉,Guatemala,Guatemala,Гватемала,غواتيمالا
Paraguay,2020-04-12T00:00:00.000Z,134,6,648090,-58.39095178,-23.23612887,Paraguay,巴拉圭,Paraguay,Paraguay,Парагвай,باراغواي
El Salvador,2020-04-12T00:00:00.000Z,125,6,648091,-88.86560674,13.73614532,El Salvador,萨尔瓦多,El Salvador,El Salvador,Сальвадор,السلفادور
Trinidad and Tobago,2020-04-12T00:00:00.000Z,112,8,648092,-61.25263722,10.46836429,Trinidad and Tobago,特立尼达和多巴哥,Trinité-et-Tobago,Trinidad y Tabago,Тринидад и Тобаго ,ترينيداد وتوباغو
Jamaica,2020-04-12T00:00:00.000Z,69,4,648093,-77.31975081,18.15133064,Jamaica,牙买加,Jamaïque,Jamaica,Ямайка,جامايكا
Barbados,2020-04-12T00:00:00.000Z,68,4,648094,-59.56212696,13.17879902,Barbados,巴巴多斯,Barbade,Barbados,Барбадос,بربادوس
Bahamas,2020-04-12T00:00:00.000Z,42,8,648095,-76.5004385,24.1666829,Bahamas,巴哈马,Bahamas,Bahamas,Багамские Острова,جزر البهاما
Guyana,2020-04-12T00:00:00.000Z,37,6,648096,-58.97416349,4.79237827,Guyana,圭亚那,Guyana,Guyana,Гайана,غيانا
Haiti,2020-04-12T00:00:00.000Z,31,2,648097,-72.68358014,18.93900136,Haiti,海地,Haïti,Haití,Гаити,هايتي
Antigua and Barbuda,2020-04-12T00:00:00.000Z,21,2,648098,-61.79112759,17.280137,Antigua and Barbuda,安提瓜和巴布达,Antigua-et-Barbuda,Antigua y Barbuda,Антигуа и Барбуда,أنتيغوا وبربودا
Dominica,2020-04-12T00:00:00.000Z,16,0,648099,-61.35549385,15.43661252,Dominica,多米尼克,Dominique,Dominica,Доминика,دومينيكا
Saint Lucia,2020-04-12T00:00:00.000Z,15,0,648100,-60.96869084,13.89811518,Saint Lucia,圣卢西亚,Sainte-Lucie,Santa Lucía,Сент-Люсия,سانت لوسيا
Grenada,2020-04-12T00:00:00.000Z,14,0,648101,-61.65003909,12.16251573,Grenada,格林纳达,Grenade,Granada,Гренада,غرينادا
Belize,2020-04-12T00:00:00.000Z,13,2,648102,-88.68278545,17.21852829,Belize,伯利兹,Belize,Belice,Белиз,بليز
Saint Kitts and Nevis,2020-04-12T00:00:00.000Z,12,0,648103,-62.69617397,17.26585656,Saint Kitts and Nevis,圣基茨和尼维斯,Saint-Kitts-et-Nevis,Saint Kitts y Nevis,Сент-Китс и Невис,سانت كيتس ونيفس
Saint Vincent and the Grenadines,2020-04-12T00:00:00.000Z,12,0,648104,-61.20753009,13.20205468,Saint Vincent and the Grenadines,圣文森特和格林纳丁斯,Saint-Vincent-et-les Grenadines,San Vicente y las Granadinas,Сент-Винсент и Гренадины,سانت فنسنت وجزر غرينادين
Nicaragua,2020-04-12T00:00:00.000Z,11,1,648105,-85.03375025,12.84006976,Nicaragua,尼加拉瓜,Nicaragua,Nicaragua,Никарагуа,نيكاراغوا
Suriname,2020-04-12T00:00:00.000Z,10,1,648106,-55.91158124,4.12671321,Suriname,苏里南,Suriname,Suriname,Суринам,سورينام
Puerto Rico,2020-04-12T00:00:00.000Z,897,44,648107,-66.46612748,18.22093074,Puerto Rico,"波多黎各
",,,,
Martinique,2020-04-12T00:00:00.000Z,156,6,648108,-61.02147382,14.65277419,Martinique,"马提尼克岛
",,,,
Guadeloupe,2020-04-12T00:00:00.000Z,143,8,648109,-61.53039242,16.20126357,Guadeloupe,"瓜德罗普岛
",,,,
Aruba,2020-04-12T00:00:00.000Z,92,0,648110,-69.97713313,12.51668736,Aruba,"阿鲁巴
",,,,
French Guiana,2020-04-12T00:00:00.000Z,86,0,648111,-53.24126696,3.9243882,French Guiana,"法属圭亚那
",,,,
Cayman Islands,2020-04-12T00:00:00.000Z,53,1,648112,-80.82909683,19.431525,Cayman Islands,"开曼群岛
",,,,
United States Virgin Islands,2020-04-12T00:00:00.000Z,51,1,648113,-64.78692721,17.9678899,United States Virgin Islands,"美属维尔京群岛
",,,,
Bermuda,2020-04-12T00:00:00.000Z,50,4,648114,-64.75637722,32.31349498,Bermuda,"百慕大
",,,,
Sint Maarten,2020-04-12T00:00:00.000Z,50,9,648115,-63.06194338,18.04683524,Sint Maarten,"圣马丁
",,,,
Saint Martin,2020-04-12T00:00:00.000Z,33,2,648116,-63.06457229,18.0876049,Saint Martin,"圣马丁岛
",,,,
Curaçao,2020-04-12T00:00:00.000Z,14,1,648117,-68.96749055,12.18779752,Curaçao,"库拉索岛
",,,,
Montserrat,2020-04-12T00:00:00.000Z,9,0,648118,-62.18692145,16.73575969,Montserrat,"蒙特塞拉特岛
",,,,
Turks and Caicos Islands,2020-04-12T00:00:00.000Z,9,1,648119,-71.88207917,21.80869292,Turks and Caicos Islands,"特克斯和凯科斯群岛
",,,,
Saint Barthélemy,2020-04-12T00:00:00.000Z,6,0,648120,-62.83353803,17.9057614,Saint Barthélemy,"圣巴泰勒米
",,,,
Falkland Islands (Malvinas),2020-04-12T00:00:00.000Z,5,0,648121,-59.37234604,-51.7398244,Falkland Islands (Malvinas),"福克兰群岛（马尔维纳斯群岛）
",,,,
Anguilla,2020-04-12T00:00:00.000Z,3,0,648122,-63.05795609,18.22423294,Anguilla,"安圭拉
",,,,
"Bonaire, Sint Eustatius and Saba",2020-04-12T00:00:00.000Z,3,0,648123,-67.68370917,12.8019026,"Bonaire, Sint Eustatius and Saba","博内尔、圣尤斯特歇斯和萨巴
",,,,
British Virgin Islands,2020-04-12T00:00:00.000Z,3,0,648124,-64.48189201,18.50995704,British Virgin Islands,"英属维尔京群岛
",,,,
Saint Pierre and Miquelon,2020-04-12T00:00:00.000Z,1,0,648125,-56.30527649,46.92888261,Saint Pierre and Miquelon,"圣皮埃尔和密克隆岛
",,,,
South Africa,2020-04-12T00:00:00.000Z,2173,25,648126,25.08871199,-28.99321352,South Africa,南非,Afrique du Sud,Sudáfrica,Южная Африка,جنوب أفريقيا
Algeria,2020-04-12T00:00:00.000Z,1914,293,648127,2.63236595,28.16335741,Algeria,阿尔及利亚,Algérie,Argelia,Алжир,الجزائر
Cameroon,2020-04-12T00:00:00.000Z,803,10,648128,12.7432535,5.68580436,Cameroon,喀麦隆,Cameroun,Camerún,Камерун,الكاميرون
